id,campaign,model,time
9811,LCD_BQP_AQCOLOR_Q221,SW271C,2021/6/2 11:39
9813,LCD_BQP_GW-80T_Q221,GW2480T,2021/6/2 13:09
9814,LCD_BQP_GW-80T_Q221,GW2780T,2021/6/2 13:11
9815,LCD_BQP_GW-80T_Q221,GW2780T,2021/6/2 13:15
9816,LCD_BQP_AQCOLOR_Q221,SW271C,2021/6/2 13:25
9818,PRJ_BQE_Home Entertainment,X1300i,2021/6/2 16:08
9819,LCD_BQP_GW-80T_Q221,GW2780T,2021/6/2 18:41
9820,ESD_BQP_XL-K_Q221,XL2546K,2021/6/2 18:42
9821,ESD_BQP_XL-K_Q221,XL2546K,2021/6/2 18:53
9822,ESD_BQP_XL-K_Q221,XL2546K,2021/6/2 18:54
9823,ESD_BQP_XL-K_Q221,XL2546K,2021/6/2 18:56
9824,PRJ_BQE_Home Entertainment,TH685i,2021/6/2 19:16
9825,LCD_BQP_GW-80T_Q221,GW2780T,2021/6/2 21:23
9826,WTG_BQP_ScreenBar_Q221,WiT ScreenBar,2021/6/2 21:25
9827,WTG_BQP_ScreenBar_Q221,WiT ScreenBar,2021/6/2 21:26
9828,WTG_BQP_ScreenBar_Q221,WiT ScreenBar,2021/6/2 21:27
9829,LCD_BQP_GW-80T_Q221,GW2780T,2021/6/2 21:29
9830,LCD_BQP_MOBIUZ_Q221,EX2710Q,2021/6/2 21:33
9831,LCD_BQP_MOBIUZ_Q221,EX2710Q,2021/6/2 21:34
9832,PRJ_BQP_Portable PRJ_Q221,GV1 (HDMI),2021/6/2 21:37
9833,PRJ_BQP_Portable PRJ_Q221,GV1 (HDMI),2021/6/2 21:40
9834,PRJ_BQP_Portable PRJ_Q221,GV1 (HDMI),2021/6/2 21:42
9835,ESD_BQP_XL-K_Q221,XL2546K,2021/6/2 21:43
9836,ESD_BQP_XL-K_Q221,XL2546K,2021/6/2 21:45
9837,ESD_BQP_XL-K_Q221,XL2546K,2021/6/2 21:51
9839,ESD_BQP_XL-K_Q221,XL2411K,2021/6/3 17:08
9841,ESD_BQP_XL-K_Q221,XL2546K,2021/6/3 17:12
9842,ESD_BQP_XL-K_Q221,XL2546K,2021/6/3 17:14
9847,ESD_BQP_XL-K_Q221,XL2546K,2021/6/3 17:21
9848,PRJ_BQP_4K PRJ_Q221,TK850i,2021/6/3 17:36
9849,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/3 17:40
9850,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/3 17:44
9852,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/3 17:47
9854,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/3 17:51
9856,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/3 17:54
9857,PRJ_BQP_4K PRJ_Q221,TK850i,2021/6/3 17:56
9858,PRJ_BQA_ProfessionalInfluencer,TK700STi,2021/6/4 07:50
9859,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/5 17:07
9860,LCD_BQP_GW-80T_Q221,GW2780T,2021/6/7 12:14
9861,LCD_BQP_GW-80T_Q221,GW2780T,2021/6/7 12:33
9862,LCD_BQP_GW-80T_Q221,GW2480T,2021/6/7 12:36
9863,LCD_BQP_GW-80T_Q221,GW2480T,2021/6/7 12:39
9864,LCD_BQP_GW-80T_Q221,GW2480T,2021/6/7 12:42
9865,LCD_BQP_GW-80T_Q221,GW2480T,2021/6/7 12:45
9866,LCD_BQP_GW-80T_Q221,GW2480T,2021/6/7 12:46
9867,LCD_BQP_GW-80T_Q221,GW2480T,2021/6/7 12:49
9868,LCD_BQP_GW-80T_Q221,GW2480T,2021/6/7 12:51
9869,LCD_BQP_GW-80T_Q221,GW2480T,2021/6/7 12:53
9870,LCD_BQP_GW-80T_Q221,GW2480T,2021/6/7 12:55
9871,LCD_BQP_GW-80T_Q221,GW2480T,2021/6/7 12:58
9872,ESD_BQP_XL-K_Q221,XL2546K,2021/6/7 13:57
9873,ESD_BQP_XL-K_Q221,XL2546K,2021/6/7 14:05
9874,ESD_BQP_XL-K_Q221,XL2546K,2021/6/7 14:09
9875,ESD_BQP_XL-K_Q221,XL2546K,2021/6/7 14:10
9876,ESD_BQP_XL-K_Q221,XL2546K,2021/6/7 14:12
9877,PRJ_BQE_Home Entertainment,TK700STi,2021/6/7 16:05
9880,PRJ_BQE_Home Entertainment,TK700STi,2021/6/7 16:20
9881,LCD_BQA_Gaming Monitor_2021 1H,EX3415R,2021/6/8 14:05
9882,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/8 16:19
9884,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/8 17:13
9885,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/8 17:14
9887,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/8 17:43
9888,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/8 17:44
9889,WTG_BQE_Screenbar,WiT ScreenBar Plus,2021/6/8 17:45
9890,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/8 17:45
9891,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/8 17:46
9892,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/8 17:46
9893,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/8 17:46
9895,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/8 22:51
